,address,current-reward,total-stake,balance,pending-undelegation,txs_sum,total-lifetime-reward,staking-transaction-count,normal-transaction-count,filter
0,one19day69t6zzqrk3yr5086v9892c9ajvkw84fegv,2691.407046635622,1304740.0,0.9999999999816032,0.0,1304741.0,2691.407046635635,19.0,30.0,True
1,one1hz6ngvtmuxpygh59j8jtt3ef7esam0mtu8xkfz,1818.7166452949102,1304000.0,740.9999999969368,0.0,1304741.0,1818.7166452917736,5.0,5.0,True
2,one1cqayh6zkwfa5u0u0kpl85k82wh5yk8hf579ax7,1737.397910964613,1304739.99,1.0057048,0.0,1304741.0,1737.3936157645658,5.0,7.0,True
3,one1gnd8uks3qd94xx7nqq0f9st4m8v63egv6utk86,187.06329268984976,1306970.7960339999,0.45211603972996106,0.0,1304741.0,2417.3114427295513,22.0,30.0,True
4,one1p7vywg0r72sle2gmt6gswev589029d8n86nhna,11501.38383739582,14486065.754718,6153.489024734206,0.0,14486205.0,17515.627580130473,104.0,131.0,True
5,one1yjdmmgswu9mlk75d7qsn2zghv7qw70kl38efgr,2121.953656126414,1304730.998769,9.9993835,0.0,1304741.0,2121.951808626298,2.0,3.0,True
6,one14wpwfxquk8ed3d0dxnrl7mpt42wtkv8jfcgaae,17209.27885583597,10571980.343984,1.6560159791174,0.0,10571982.0,17209.27885581553,24.0,34.0,True
7,one1nrvqn9c39m6taxud3y8sgh80l94jlqc20h98fy,840.5828998020532,1304672.1646780001,131.63326803330617,0.0,1304513.0,1131.3808458354324,14.0,16.0,False
8,one1crh87npvru08thms387xjy5lnqa7yuet9mtv25,2886.7953252703633,2609480.799999,1.20000097362,0.0,2609482.0,2886.7953252438456,42.0,43.0,True
9,one1z8yeptqappfnv5c7jamxwxcv9unglck89ja8ql,1731.7504702368064,1300000.0,4740.999999998166,0.0,1304741.0,1731.7504702350125,3.0,3.0,False
10,one1s366l90kv0x44tmtjgd6fv06npn8numm64f8j9,284.950495573725,1306444.0,0.6315509211886176,0.0,1304741.0,1988.5820464948192,20.0,31.0,True
11,one1d8es8p4nwfp5jyqfs6q83rpnwscy5jl3f59e8q,1366.6249036984393,1304740.0,0.9999999999975456,0.0,1304741.0,1366.6249036984518,3.0,4.0,True
